## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Pool11.sorted.bam --OUTPUT Pool11.sorted.bamdeDup.bam --METRICS_FILE Pool11.sorted.bam_deDupMetrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 04 11:29:59 AST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Zostera	72221	91391314	628929	7522937	41421	12479324	1389874	0.136721	334562961

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.013431	68138475	0	69171275
2.0	1.784617	9311574	1325398	8567992
3.0	2.371464	1259120	30966	1025512
4.0	2.818035	171304	824	125573
5.0	3.15786	25134	18	16978
6.0	3.416456	4520	0	3189
7.0	3.613238	1128	0	879
8.0	3.762983	433	0	348
9.0	3.876934	175	0	143
10.0	3.963647	68	0	54
11.0	4.029632	33	0	27
12.0	4.079845	14	0	11
13.0	4.118055	4	0	2
14.0	4.147132	4	0	3
15.0	4.169258	0	0	1
16.0	4.186095	1	0	1
17.0	4.198908	1	0	1
18.0	4.208658	1	0	0
19.0	4.216078	0	0	0
20.0	4.221724	1	0	1
21.0	4.22602	0	0	0
22.0	4.229289	0	0	0
23.0	4.231777	0	0	0
24.0	4.23367	0	0	0
25.0	4.235111	0	0	0
26.0	4.236207	0	0	0
27.0	4.237042	0	0	0
28.0	4.237676	0	0	0
29.0	4.23816	0	0	0
30.0	4.238527	0	0	0
31.0	4.238807	0	0	0
32.0	4.23902	0	0	0
33.0	4.239182	0	0	0
34.0	4.239305	0	0	0
35.0	4.239399	0	0	0
36.0	4.23947	0	0	0
37.0	4.239525	0	0	0
38.0	4.239566	0	0	0
39.0	4.239597	0	0	0
40.0	4.239621	0	0	0
41.0	4.239639	0	0	0
42.0	4.239653	0	0	0
43.0	4.239664	0	0	0
44.0	4.239672	0	0	0
45.0	4.239678	0	0	0
46.0	4.239683	0	0	0
47.0	4.239686	0	0	0
48.0	4.239689	0	0	0
49.0	4.239691	0	0	0
50.0	4.239692	0	0	0
51.0	4.239694	0	0	0
52.0	4.239695	0	0	0
53.0	4.239695	0	0	0
54.0	4.239696	0	0	0
55.0	4.239696	0	0	0
56.0	4.239696	0	0	0
57.0	4.239697	0	0	0
58.0	4.239697	0	0	0
59.0	4.239697	0	0	0
60.0	4.239697	0	0	0
61.0	4.239697	0	0	0
62.0	4.239697	0	0	0
63.0	4.239697	0	0	0
64.0	4.239697	0	0	0
65.0	4.239697	0	0	0
66.0	4.239697	0	0	0
67.0	4.239697	0	0	0
68.0	4.239697	0	0	0
69.0	4.239697	0	0	0
70.0	4.239697	0	0	0
71.0	4.239697	0	0	0
72.0	4.239697	0	0	0
73.0	4.239697	0	0	0
74.0	4.239697	0	0	0
75.0	4.239697	0	0	0
76.0	4.239697	0	0	0
77.0	4.239697	0	0	0
78.0	4.239697	0	0	0
79.0	4.239697	0	0	0
80.0	4.239697	0	0	0
81.0	4.239697	0	0	0
82.0	4.239697	0	0	0
83.0	4.239697	0	0	0
84.0	4.239697	0	0	0
85.0	4.239697	0	0	0
86.0	4.239697	0	0	0
87.0	4.239697	0	0	0
88.0	4.239697	0	0	0
89.0	4.239697	0	0	0
90.0	4.239697	0	0	0
91.0	4.239697	0	0	0
92.0	4.239697	0	0	0
93.0	4.239697	0	0	0
94.0	4.239697	0	0	0
95.0	4.239697	0	0	0
96.0	4.239697	0	0	0
97.0	4.239697	0	0	0
98.0	4.239697	0	0	0
99.0	4.239697	0	0	0
100.0	4.239697	0	0	0

