## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Pool2.sorted.bam --OUTPUT Pool2.sorted.bamdeDup.bam --METRICS_FILE Pool2.sorted.bam_deDupMetrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 04 11:29:59 AST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Zostera	52298	107234187	587101	3704158	28266	15523319	1566389	0.144857	363947060

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.012748	78499889	0	79636486
2.0	1.767041	11263609	1496236	10466915
3.0	2.328837	1650159	33710	1382404
4.0	2.747261	246319	884	188185
5.0	3.058903	39830	19	28571
6.0	3.291013	7720	1	5578
7.0	3.463888	2048	0	1613
8.0	3.592645	697	0	608
9.0	3.688543	300	0	264
10.0	3.759968	157	0	120
11.0	3.813165	68	0	63
12.0	3.852786	35	0	26
13.0	3.882295	22	0	25
14.0	3.904274	10	0	7
15.0	3.920644	1	0	2
16.0	3.932836	3	0	0
17.0	3.941916	0	0	0
18.0	3.94868	1	0	1
19.0	3.953717	0	0	0
20.0	3.957469	0	0	0
21.0	3.960263	0	0	0
22.0	3.962344	0	0	0
23.0	3.963894	0	0	0
24.0	3.965049	0	0	0
25.0	3.965909	0	0	0
26.0	3.966549	0	0	0
27.0	3.967026	0	0	0
28.0	3.967381	0	0	0
29.0	3.967646	0	0	0
30.0	3.967843	0	0	0
31.0	3.96799	0	0	0
32.0	3.968099	0	0	0
33.0	3.96818	0	0	0
34.0	3.968241	0	0	0
35.0	3.968286	0	0	0
36.0	3.96832	0	0	0
37.0	3.968345	0	0	0
38.0	3.968364	0	0	0
39.0	3.968377	0	0	0
40.0	3.968388	0	0	0
41.0	3.968396	0	0	0
42.0	3.968401	0	0	0
43.0	3.968406	0	0	0
44.0	3.968409	0	0	0
45.0	3.968411	0	0	0
46.0	3.968413	0	0	0
47.0	3.968414	0	0	0
48.0	3.968415	0	0	0
49.0	3.968416	0	0	0
50.0	3.968416	0	0	0
51.0	3.968417	0	0	0
52.0	3.968417	0	0	0
53.0	3.968417	0	0	0
54.0	3.968418	0	0	0
55.0	3.968418	0	0	0
56.0	3.968418	0	0	0
57.0	3.968418	0	0	0
58.0	3.968418	0	0	0
59.0	3.968418	0	0	0
60.0	3.968418	0	0	0
61.0	3.968418	0	0	0
62.0	3.968418	0	0	0
63.0	3.968418	0	0	0
64.0	3.968418	0	0	0
65.0	3.968418	0	0	0
66.0	3.968418	0	0	0
67.0	3.968418	0	0	0
68.0	3.968418	0	0	0
69.0	3.968418	0	0	0
70.0	3.968418	0	0	0
71.0	3.968418	0	0	0
72.0	3.968418	0	0	0
73.0	3.968418	0	0	0
74.0	3.968418	0	0	0
75.0	3.968418	0	0	0
76.0	3.968418	0	0	0
77.0	3.968418	0	0	0
78.0	3.968418	0	0	0
79.0	3.968418	0	0	0
80.0	3.968418	0	0	0
81.0	3.968418	0	0	0
82.0	3.968418	0	0	0
83.0	3.968418	0	0	0
84.0	3.968418	0	0	0
85.0	3.968418	0	0	0
86.0	3.968418	0	0	0
87.0	3.968418	0	0	0
88.0	3.968418	0	0	0
89.0	3.968418	0	0	0
90.0	3.968418	0	0	0
91.0	3.968418	0	0	0
92.0	3.968418	0	0	0
93.0	3.968418	0	0	0
94.0	3.968418	0	0	0
95.0	3.968418	0	0	0
96.0	3.968418	0	0	0
97.0	3.968418	0	0	0
98.0	3.968418	0	0	0
99.0	3.968418	0	0	0
100.0	3.968418	0	0	0

