## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Pool7.sorted.bam --OUTPUT Pool7.sorted.bamdeDup.bam --METRICS_FILE Pool7.sorted.bam_deDupMetrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 04 11:29:59 AST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Zostera	59109	107137128	644250	5702281	30884	16199790	1579987	0.151309	345004993

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.012766	77351860	0	78472038
2.0	1.755176	11430488	1506433	10665741
3.0	2.299402	1794087	35313	1520438
4.0	2.698348	291726	944	226960
5.0	2.990796	51818	24	38537
6.0	3.205176	11265	0	8570
7.0	3.362328	3376	0	2710
8.0	3.477529	1335	0	1130
9.0	3.561977	646	0	580
10.0	3.623882	322	0	292
11.0	3.669261	200	0	159
12.0	3.702527	87	0	75
13.0	3.726912	51	0	48
14.0	3.744788	34	0	23
15.0	3.757892	17	0	15
16.0	3.767498	9	0	7
17.0	3.77454	5	0	6
18.0	3.779701	5	0	4
19.0	3.783485	3	0	1
20.0	3.786259	1	0	1
21.0	3.788292	1	0	1
22.0	3.789783	1	0	1
23.0	3.790876	0	0	0
24.0	3.791677	1	0	1
25.0	3.792264	0	0	0
26.0	3.792694	0	0	0
27.0	3.79301	0	0	0
28.0	3.793241	0	0	0
29.0	3.793411	0	0	0
30.0	3.793535	0	0	0
31.0	3.793626	0	0	0
32.0	3.793693	0	0	0
33.0	3.793742	0	0	0
34.0	3.793778	0	0	0
35.0	3.793804	0	0	0
36.0	3.793823	0	0	0
37.0	3.793837	0	0	0
38.0	3.793848	0	0	0
39.0	3.793855	0	0	0
40.0	3.793861	0	0	0
41.0	3.793865	0	0	0
42.0	3.793868	0	0	0
43.0	3.79387	0	0	0
44.0	3.793872	0	0	0
45.0	3.793873	0	0	0
46.0	3.793874	0	0	0
47.0	3.793874	0	0	0
48.0	3.793875	0	0	0
49.0	3.793875	0	0	0
50.0	3.793875	0	0	0
51.0	3.793876	0	0	0
52.0	3.793876	0	0	0
53.0	3.793876	0	0	0
54.0	3.793876	0	0	0
55.0	3.793876	0	0	0
56.0	3.793876	0	0	0
57.0	3.793876	0	0	0
58.0	3.793876	0	0	0
59.0	3.793876	0	0	0
60.0	3.793876	0	0	0
61.0	3.793876	0	0	0
62.0	3.793876	0	0	0
63.0	3.793876	0	0	0
64.0	3.793876	0	0	0
65.0	3.793876	0	0	0
66.0	3.793876	0	0	0
67.0	3.793876	0	0	0
68.0	3.793876	0	0	0
69.0	3.793876	0	0	0
70.0	3.793876	0	0	0
71.0	3.793876	0	0	0
72.0	3.793876	0	0	0
73.0	3.793876	0	0	0
74.0	3.793876	0	0	0
75.0	3.793876	0	0	0
76.0	3.793876	0	0	0
77.0	3.793876	0	0	0
78.0	3.793876	0	0	0
79.0	3.793876	0	0	0
80.0	3.793876	0	0	0
81.0	3.793876	0	0	0
82.0	3.793876	0	0	0
83.0	3.793876	0	0	0
84.0	3.793876	0	0	0
85.0	3.793876	0	0	0
86.0	3.793876	0	0	0
87.0	3.793876	0	0	0
88.0	3.793876	0	0	0
89.0	3.793876	0	0	0
90.0	3.793876	0	0	0
91.0	3.793876	0	0	0
92.0	3.793876	0	0	0
93.0	3.793876	0	0	0
94.0	3.793876	0	0	0
95.0	3.793876	0	0	0
96.0	3.793876	0	0	0
97.0	3.793876	0	0	0
98.0	3.793876	0	0	0
99.0	3.793876	0	0	0
100.0	3.793876	0	0	0

