## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Pool21.sorted.bam --OUTPUT Pool21.sorted.bamdeDup.bam --METRICS_FILE Pool21.sorted.bam_deDupMetrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 04 11:29:59 AST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Zostera	93027	95519461	582301	15022861	47536	14498783	1389504	0.151964	305781052

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.012577	68904652	0	69883533
2.0	1.753485	10164750	1324734	9502021
3.0	2.29561	1617004	31177	1374078
4.0	2.692285	267479	776	210066
5.0	2.982534	49097	22	36838
6.0	3.194911	11266	0	8725
7.0	3.350308	3489	0	2862
8.0	3.464012	1406	0	1220
9.0	3.54721	689	0	613
10.0	3.608087	393	0	337
11.0	3.652631	212	0	184
12.0	3.685223	122	0	101
13.0	3.709072	51	0	46
14.0	3.726521	33	0	24
15.0	3.73929	16	0	13
16.0	3.748632	8	0	9
17.0	3.755468	6	0	4
18.0	3.76047	0	0	0
19.0	3.76413	1	0	1
20.0	3.766808	2	0	1
21.0	3.768767	0	0	1
22.0	3.770201	1	0	0
23.0	3.77125	0	0	0
24.0	3.772018	0	0	0
25.0	3.772579	0	0	0
26.0	3.77299	1	0	1
27.0	3.773291	0	0	0
28.0	3.773511	0	0	0
29.0	3.773672	0	0	0
30.0	3.77379	0	0	0
31.0	3.773876	0	0	0
32.0	3.773939	0	0	0
33.0	3.773985	0	0	0
34.0	3.774019	0	0	0
35.0	3.774044	0	0	0
36.0	3.774062	0	0	0
37.0	3.774075	0	0	0
38.0	3.774085	0	0	0
39.0	3.774092	0	0	0
40.0	3.774097	0	0	0
41.0	3.774101	0	0	0
42.0	3.774104	0	0	0
43.0	3.774106	0	0	0
44.0	3.774107	0	0	0
45.0	3.774108	0	0	0
46.0	3.774109	0	0	0
47.0	3.77411	0	0	0
48.0	3.77411	0	0	0
49.0	3.77411	0	0	0
50.0	3.774111	0	0	0
51.0	3.774111	0	0	0
52.0	3.774111	0	0	0
53.0	3.774111	0	0	0
54.0	3.774111	0	0	0
55.0	3.774111	0	0	0
56.0	3.774111	0	0	0
57.0	3.774111	0	0	0
58.0	3.774111	0	0	0
59.0	3.774111	0	0	0
60.0	3.774111	0	0	0
61.0	3.774111	0	0	0
62.0	3.774111	0	0	0
63.0	3.774111	0	0	0
64.0	3.774111	0	0	0
65.0	3.774111	0	0	0
66.0	3.774111	0	0	0
67.0	3.774111	0	0	0
68.0	3.774111	0	0	0
69.0	3.774111	0	0	0
70.0	3.774111	0	0	0
71.0	3.774111	0	0	0
72.0	3.774111	0	0	0
73.0	3.774111	0	0	0
74.0	3.774111	0	0	0
75.0	3.774111	0	0	0
76.0	3.774111	0	0	0
77.0	3.774111	0	0	0
78.0	3.774111	0	0	0
79.0	3.774111	0	0	0
80.0	3.774111	0	0	0
81.0	3.774111	0	0	0
82.0	3.774111	0	0	0
83.0	3.774111	0	0	0
84.0	3.774111	0	0	0
85.0	3.774111	0	0	0
86.0	3.774111	0	0	0
87.0	3.774111	0	0	0
88.0	3.774111	0	0	0
89.0	3.774111	0	0	0
90.0	3.774111	0	0	0
91.0	3.774111	0	0	0
92.0	3.774111	0	0	0
93.0	3.774111	0	0	0
94.0	3.774111	0	0	0
95.0	3.774111	0	0	0
96.0	3.774111	0	0	0
97.0	3.774111	0	0	0
98.0	3.774111	0	0	0
99.0	3.774111	0	0	0
100.0	3.774111	0	0	0

